video,bitrate,resolution
12154555_360_640_30fps.mp4,653058,360x640
12876315-hd_1280_720_60fps.mp4,2910771,1280x720
13265468_360_640_60fps.mp4,2157724,360x640
13553109_1920_1080_30fps.mp4,9570327,1920x1080
13606688_1080_1920_30fps.mp4,4566080,1080x1920
13618772_2160_3840_24fps.mp4,16951393,2160x3840
13678302_540_960_24fps.mp4,1018052,540x960
13684300_640_360_24fps.mp4,1564905,640x360
13704981_3840_2160_24fps.mp4,12646612,3840x2160
13722119_720_1280_25fps.mp4,4941681,720x1280
13733232_2160_3840_60fps.mp4,19452466,2160x3840
13740927_1080_1920_30fps.mp4,7999829,1080x1920
13747135_1080_1920_30fps.mp4,5345671,1080x1920
13754369_360_640_60fps.mp4,364190,360x640
13763590_1080_1920_30fps.mp4,10926680,1080x1920
13772638_3840_2160_60fps.mp4,34227153,3840x2160
13786374_1080_1920_50fps.mp4,4367574,1080x1920
13798912_1920_1080_30fps.mp4,22520689,1920x1080
13801035_540_960_30fps.mp4,6917436,540x960
15285981-hd_720_1280_30fps.mp4,3008482,720x1280
18823686-hd_720_1280_30fps.mp4,3196565,720x1280
4513020-hd_1366_720_24fps.mp4,2016648,1366x720
4907896-sd_640_360_30fps.mp4,479954,640x360
6394054-sd_960_480_24fps.mp4,1401415,960x480
pilot.flv,3000000,1920x1080
sample_1280x720.flv,200000,1280x720
sample_1280x720_surfing_with_audio.flv,200000,1280x720
sample_1280x720_surfing_with_audio.mp4,3001682,1280x720
sample_1920x1080.mp4,10833691,1920x1080
sample_2560x1440.flv,200000,2560x1440
sample_3840x2160.flv,200000,3840x2160
sample_3840x2160.mp4,37570750,3840x2160
sample_640x360.flv,200000,640x360
sample_960x400_ocean_with_audio.flv,200000,960x400
sample_960x400_ocean_with_audio.mp4,2882544,960x400
SampleVideo_1280x720_10mb.mp4,959963,1280x720
SampleVideo_1280x720_1mb.flv,1200000,1280x720
SampleVideo_1280x720_1mb.mkv,N/A,1280x720
SampleVideo_1280x720_1mb.mp4,1205959,1280x720
SampleVideo_1280x720_20mb.flv,1200000,1280x720
SampleVideo_1280x720_20mb.mkv,N/A,1280x720
SampleVideo_1280x720_2mb.mkv,N/A,1280x720
SampleVideo_1280x720_2mb.mp4,862991,1280x720
SampleVideo_1280x720_30mb.mp4,1086104,1280x720
SampleVideo_1280x720_5mb.flv,1200000,1280x720
SampleVideo_176x144_1mb.3gp,188887,176x144
SampleVideo_176x144_5mb.3gp,189988,176x144
SampleVideo_320x240_1mb.3gp,492553,320x240
SampleVideo_320x240_20mb.3gp,395928,320x240
SampleVideo_320x240_30mb.3gp,389546,320x240
SampleVideo_320x240_5mb.3gp,416569,320x240
SampleVideo_360x240_10mb.flv,500000,320x240
SampleVideo_360x240_10mb.mkv,N/A,320x240
SampleVideo_360x240_1mb.flv,500000,320x240
SampleVideo_360x240_1mb.mp4,229387,320x240
SampleVideo_360x240_20mb.mp4,297106,320x240
SampleVideo_360x240_2mb.flv,500000,320x240
SampleVideo_360x240_2mb.mkv,N/A,320x240
SampleVideo_360x240_30mb.flv,500000,320x240
SampleVideo_360x240_30mb.mkv,N/A,320x240
SampleVideo_360x240_5mb.flv,500000,320x240
SampleVideo_360x240_5mb.mp4,260187,320x240
SampleVideo_640x360_10mb.mkv,N/A,640x360
SampleVideo_640x360_10mb.mp4,839030,640x368
SampleVideo_640x360_1mb.flv,800000,640x360
SampleVideo_640x360_2mb.mkv,N/A,640x360
SampleVideo_640x360_2mb.mp4,723312,640x368
SampleVideo_640x360_30mb.mkv,N/A,640x360
SampleVideo_720x480_10mb.mkv,N/A,720x480
SampleVideo_720x480_10mb.mp4,884005,640x480
SampleVideo_720x480_1mb.flv,1000000,640x480
SampleVideo_720x480_20mb.flv,1000000,640x480
SampleVideo_720x480_2mb.mkv,N/A,720x480
SampleVideo_720x480_2mb.mp4,709538,640x480
SampleVideo_720x480_30mb.mkv,N/A,720x480
SampleVideo_720x480_30mb.mp4,988782,640x480
SampleVideo_720x480_5mb.flv,1000000,640x480
